"id","type","form","gloss","pos","pos_condition","comment"
,,"darkor","necessary","N",,
,,"na","NEG","? V.AFF / CONJ / PRT",,
,"prefix","no-","NEG","N.AFF",,"именное отрицание (Саша Сергиенко)"
,"prefix","na-","NEG","V.AFF",,"общий показатель отрицания"
,"prefix","mā-","NEG.IRR","V.AFF",,"отрицание императива"
,"suffix","-na","NEG.Q","PRT",,
,,"x̌āb","night","N",,
,,"x̌ab","night","N",,
,,"now","nine","NUM",,
,,"nay","no","PRT",,
,,"nāy","no","PRT",,
,,"ič","none","PRO",,
,,"yič","none","PRO",,
,,"maδor","noon","N",,
,,"šič","now","PRT",,
,,"ši","now","PRT",,
,,"abor","once","PRT",,
,,"yakbor","once","PRT",,
,,"yakbori","once","PRT",,
,,"yabor","once","PRT",,
,,"yabori","once","PRT",,
,,"yak","one","NUM",,
,,"yīw","one","NUM",,
,"verb","rimi","order","V",,
,"verb","rimī","order","V",,
,"verb","rimay","order","V",,
,"verb","rimo","order","V",,
,"verb","rimoδ","order","V",,
,"verb","rimê","order","V",,
,"suffix","-či","ORIG","N.AFF","< ? N",
,,"diga","other","PRO",,
,,"digar","other","PRO",,
,"suffix","-ǰād","P.LOC","POST",,"посессивный локатив (‘у меня, при мне’)"
,"suffix","-ǰi","P.LOC","POST",,"посессивный локатив (‘у меня, при мне’)"
,"suffix","-ǰid","P.LOC","POST",,"посессивный локатив (‘у меня, при мне’)"
,,"ǰād","P.LOC","POST",,"посессивный локатив (‘у меня, при мне’)"
,,"ǰi","P.LOC","POST",,"посессивный локатив (‘у меня, при мне’)"
,,"ǰid","P.LOC","POST",,"посессивный локатив (‘у меня, при мне’)"
,"verb","naɣ̌ǰīs","pass","V",,
,"verb","naɣ̌ǰīδ","pass","V",,
,,"kayůn","pear","N",,
,,"nok","pear","N",,
,,"mardum","people","N",,
,,"odam","person","N",,
,"suffix","-ʒ","PF.F/PL","T","< V",
,"suffix","-c","PF.F/PL","T","< V",
,,"rozavi","pink","N",,
,"suffix","-êrʒ","PL","N.AFF","< ? N",
,"suffix","-gůn","PL","N.AFF","< ? N",
,"suffix","-ǰůn","PL","N.AFF","< ? N",
,"suffix","-orǰ","PL","N.AFF","< ? N",
,"suffix","-yůn","PL","N.AFF","< ? N",
,,"-galā","PL","N.AFF",,
,,"ǰoy","place","N",,
,"suffix","-zor","PLACE","N.AFF","< ? N","mūnzor (‘яблоневый сад’)"
,"verb","bêx̌","play","V",,
,,"māš","PRN.1PL","PERS",,
,,"uz","PRN.1SG","PERS",,
,,"wuz","PRN.1SG","PERS",,
,,"mu","PRN.1SG.O","PERS",,
,,"tama","PRN.2PL","PERS",,
,,"tamā","PRN.2PL","PERS",,
,,"tu","PRN.2SG","PERS",,
,,"albat","probably","N",,
,,"albāt","probably","N",,
,"suffix","-va","PROL","POST",,"пролатив (‘вдоль’, ‘через’, ‘сквозь’)"
,,"taš","PROSP","PRT",,
,,"ku","PTCL","PRT",,
,,"xay","PTCL","PRT",,
,"verb","tāž","pull","V",,
,"verb","tož","pull","V",,
,"verb","tīž","pull","V",,
,"suffix","-ow","PURP","NMLZ",,
,"verb","ribi","put","V",,
,"verb","ribê","put","V",,
,"verb","ribīz","put","V",,
,"verb","ribūy","put","V",,
,"verb","ribī","put","V",,
,,"sawol","question","N",,
,,"nāla","QUOT","PRT",,
,"prefix","nā","QUOT / NEG.Q","PRT",,
,"verb","firêp","deliver","V",,
,"verb","firāp","reach","V",,
,"verb","firop","reach","V",,
,"verb","firīp","reach","V",,
,"verb","x̌oy","read","V",,
,"verb","x̌êy","read","V",,
,,"amdigar","RECP","PRO",,
,,"hamdigar","RECP","PRO",,
,,"yakdigar","RECP","PRO",,
,,"rūšt","red","N",,
,"prefix","par-","REFC","V.AFF",,
,,"rost","right","N",,
,,"půnd","road","N",,
,,"naǰot","salvation","N",,
,"verb","lů","say","V",,
,"verb","lův","say","V",,
,,"nêδ","seat","V",,
,"verb","win","see","V",,
,"verb","wīn","see","V",,
,"verb","nimoy","seem","V",,
,"verb","nimêy","seem","V",,
,,"xubaθ","SELF","PRO",,
,,"wūvd","seven","NUM",,
,,"ūvd","seven","NUM",,
,,"ayrůn","shocked","N",,
,,"xuɣ̌nůn","Shughni","N",,
,,"pāli","side","N",,
,,"taraf","side","N",,
,,"guno","sin","N",,
,"verb","niθ","sit","V",,
,"verb","nīθ","sit","V",,
,"verb","nīs","sit","V",,
,"verb","nos","sit.F/PL","V",,
,"verb","nūs","sit.M.SG","V",,
,,"xoɣ̌","six","NUM",,
,,"půst","skin","N",,
,,"xūδm","sleep","N",,
,,"ostā","slow","N",,
,,"ʒal","small.F","N",,
,,"ʒalik","small.F","N",,
,,"ӡul","small.M","N",,
,,"ʒulik","small.M","N",,
,,"sarboz","soldier","N",,
,,"lāv","some","PRO",,
,,"loy","some","PRO",,
,,"puc","son","N",,
,,"soxt","sort","N",,
,"verb","wirāfc","stand","V",,
,"verb","wirofc","stand","V",,
,"verb","wirīv","stand","V",,
,"verb","wirov","stand.F/PL","V",,
,"verb","re","stay","V",,
,"verb","ris","stay","V",,
,"verb","reδ","stay","V",,
,,"ɣal","still","PRT",,
,,"žīr","stone","N",,
,,"naqli","story","N",,
,"suffix","-bīr","SUB","POST",,"нижний, под(о), из-под"
,"suffix","-bīrīn","SUB","POST",,"нижний, под(о), из-под"
,,"bīr","? SUB / bottom","? POST / N",,"нижний, под(о), из-под"
,,"bīrīn","? SUB / bottom","? POST / N",,"нижний, под(о), из-под"
,,"ca","SUBD1","CONJ",,
,,"dis","such","PRO",,
,,"disga","such","PRO",,
,,"banokāf","suddenly","N",,
,"suffix","-ti","SUP","POST",,"суперэссив (‘на столе’, ‘сверху’, ‘поверху’)"
,"suffix","-tīr","SUP","POST",,"суперэссив (‘на столе’, ‘сверху’, ‘поверху’)"
,,"tīr","? SUP / top","? POST / N",,"суперэссив (‘на столе’, ‘сверху’, ‘поверху’)"
,,"bidāl","swapping","N",,
,,"x̌inowari","swimming","N",,
,"verb","zêz","take","V",,
,"verb","zêx̌","take","V",,
,"verb","zox̌","take","V",,
,,"mābad","temple","N",,
,,"δis","ten","NUM",,
,,"δist","ten","NUM",,
,,"qulluɣ","thanks","N",,
,,"yāni","that_is","PRT",,
,,"bād","then","N",,
,,"pas","therefore","PRT",,
,,"čīz","thing","? PRO / N",,
,,"znāčit","this_means","PRT",,
,,"důnd","this_much","PRO",,
,,"fikri","thought","N",,
,,"aray","three","NUM",,
,,"se","three","NUM",,
,,"aray","three","NUM",,
,"verb","pitêw","throw","V",,
,,"waxt","time","N",,
,"suffix","-ǰev","TIME1","POST",,"х̌ābǰev (‘по ночам’)"
,,"nur","today","N",,
,,"x̌umne","tomorrow","N",,
,,"tor","top","N",,
,"verb","cêp","touch","V",,
,,"daraxt","tree","N",,
,,"diraxt","tree","N",,
,,"bowar","trust","N",,
,,"bowari","trust","N",,
,,"bovar","trust","N",,
,"verb","gāx̌","turn","V",,
,,"x̌o","turns_out","PRT",,
,,"δu","two","NUM",,
,,"δuyůn","two","NUM",,
,"verb","fām","understand","V",,
,,"důnā","unit","N",,
,"prefix","pad-","UP","PREP",,
,,"pi","UP","PREP",,"перемещение к ориентиру выше говорящего (‘в дом / в доме [который выше]’)"
,,"e","VOC","PRT",,
